z_cc	H_cc	H_cc_err
0.0700	69.0000	19.6000
0.0900	69.0000	12.0000
0.1200	68.6000	26.2000
0.1700	83.0000	8.0000
0.1790	75.0000	4.0000
0.1990	75.0000	5.0000
0.2000	72.9000	29.6000
0.2700	77.0000	14.0000
0.2800	88.8000	36.6000
0.3520	83.0000	14.0000
0.3802	83.0000	13.5000
0.4000	95.0000	17.0000
0.4004	77.0000	10.2000
0.4247	87.1000	11.2000
0.4497	92.8000	12.9000
0.4700	89.0000	50.0000
0.4783	80.9000	9.0000
0.4800	97.0000	62.0000
0.5930	104.0000	13.0000
0.6800	92.0000	8.0000
0.7500	98.8000	33.6000
0.7500	105.0000	7.9000
0.7810	105.0000	12.0000
0.8000	113.1000	15.1000
0.8750	125.0000	17.0000
0.8800	90.0000	40.0000
0.9000	117.0000	23.0000
1.0370	154.0000	20.0000
1.2600	135.0000	65.0000
1.3000	168.0000	17.0000
1.3630	160.0000	33.6000
1.4300	177.0000	18.0000
1.5300	140.0000	14.0000
1.7500	202.0000	40.0000
1.9650	186.5000	50.4000
