Name	Redshift	DM_obs	DM_MW_ISM_(NE2001)	RA_(J2000)	Decl_(J2000)	Host_Type	Reference
FRB 20121102A	0.19273	557	188.4	82.9946	33.1479	1	Chatterjee et al. (2017)
FRB 20180301A	0.3304	552	151.7	93.2268	4.6711	1	Bhandari et al. (2022)
FRB 20180924B	0.3214	361.42	40.5	326.1053	−40.9	3	Bannister et al. (2019)
FRB 20181112A	0.4755	589.27	41.7	327.3485	−52.9709	3	Prochaska et al. (2019)
FRB 20181223C	0.03024	111.61	19.9	180.9207	27.5476	3	Bhardwaj et al. (2024)
FRB 20190102C	0.2912	364.5	57.4	322.4157	−79.4757	3	Bhandari et al. (2020)
FRB 20190110C	0.12244	221.6	37.1	249.3185	41.4434	2	Ibik et al. (2024)
FRB 20190303A	0.064	223.2	29.8	207.9958	48.1211	2	Michilli et al. (2023)
FRB 20190418A	0.07132	182.78	70.2	65.8123	16.0738	3	Bhardwaj et al. (2024)
FRB 20190523A	0.66	760.8	37.2	207.065	72.4697	3	Ravi et al. (2019)
FRB 20190608B	0.11778	338.7	37.3	334.0199	−7.8983	3	Chittidi et al. (2021)
FRB 20190611B	0.3778	321.4	57.8	320.7456	−79.3976	3	Heintz et al. (2020)
FRB 20190614D	0.6	959.2	87.8	65.0755	73.7067	3	Law et al. (2020)
FRB 20190711A	0.522	593.1	56.5	329.4193	−80.358	1	Heintz et al. (2020)
FRB 20190714A	0.2365	504.13	38.5	183.9797	−13.021	3	Heintz et al. (2020)
FRB 20191001A	0.234	506.92	44.2	323.3513	−54.7478	3	Heintz et al. (2020)
FRB 20191106C	0.10775	332.2	25	199.5801	42.9997	2	Ibik et al. (2024)
FRB 20191228A	0.2432	297.5	32.9	344.4304	−28.5941	3	Bhandari et al. (2022)
FRB 20200223B	0.06024	201.8	45.6	8.2695	28.8313	2	Ibik et al. (2024)
FRB 20200430A	0.1608	380.1	27.2	229.7064	12.3763	3	Heintz et al. (2020)
FRB 20200723B	0.0085	244	33	190.1583	−5.135	3	Shin et al. (2024)
FRB 20200906A	0.3688	577.8	35.8	53.4962	−14.0832	3	Bhandari et al. (2022)
FRB 20201124A	0.098	413.52	139.9	77.0146	26.0607	2	Ravi et al. (2022)
