Redshift	DM_MW,ISM	DM_obs	u_obs
0.07132	70.2	182.78	1.62
0.0039	41.0	103.5	0.3
0.0087	37.0	114.0	0.2
0.0190	58.12	198.5	
0.023686	31.0	283.73	0.05
0.0298	61.51	131.4	
0.03024	19.9	112.45	0.01
0.03122	49.25	127.78	1.62
0.0337	200.0	348.8	0.2
0.035	396.0	477.0	0.5
0.042729	38.0	374.5	0.2
0.043040	79.3	262.38	0.01
0.0469	42.5	234.83	0.08
0.0507	251.93	433.55	0.0036
0.0553	52.69	222.8	
0.06024	46.0	202.268	0.007
0.064	29.39	222.4	0.7
0.0644	29.73	221.0	
0.0659	59.13	457.7	
0.068	87.75	189.4	0.4
0.07	43.8	438.9	
0.0713	33.37	189.4	
0.0714	70.2	182.78	1.62
0.0715	27.1	206.0	5.0
0.0729	89.76	302.1	
0.0771	125.0	219.46	0.042
0.0783	70.36	186.3	
0.089400	55.2	269.53	0.02
0.094	38.5	590.6	
0.098	123.2	413.52	0.5
0.105	50.0	411.51	0.05
0.1059	47.9	165.8	
0.10775	25.0	333.4	0.2
0.1079	25.05	331.6	
0.11	27.7	187.8	
0.1119	70.03	169.4	
0.113900	55.2	631.28	0.04
0.1178	37.2	338.7	0.5
0.1184	26.97	291.3	
0.1185	40.1	357.4	
0.1223	134.13	706.1	
0.12244	37.0	221.92	0.01
0.1265	39.1	345.15	
0.1270	36.0	601.8	0.2
0.12927	121.2	251.9	0.2
0.13	49.7	527.65	0.01
0.1384	55.5	176.49	0.01
0.1415	56.2	578.78	2.0
0.1464	36.29	420.1	
0.1569	145.0	329.9	0.1
0.1570	50.0	361.4	0.2
0.158239	40.3	314.99	0.01
0.16	27.0	380.25	0.5
0.1772	40.0	500.147	0.004
0.1839	40.0	246.0	
0.1918	92.39	364.3	
0.1926	31.0	290.4	0.3
0.19273	188.0	557.0	2.0
0.2044	35.0	343.8	0.8
0.21	48.0	549.5	
0.2115	85.18	312.5	
0.2145	34.4	730.0	1.0
0.229	47.2	452.5	
0.234	44.7	506.92	0.04
0.2365	38.0	504.13	2.0
0.2395	131.2	490.7	
0.241397	79.7	651.24	0.06
0.2432	33.0	297.5	0.05
0.245	64.55	344.2	
0.248123	135.7	499.27	0.06
0.2505	91.7	411.4	
0.262	1019.5	1146.25	0.2
0.2625	40.2	396.7	
0.2710	37.6	608.9	
0.2746	122.81	208.66	1.62
0.2764	132.3	640.6	
0.2785	22.0	583.0	1.0
0.2797	42.2	384.8	0.3
0.284669	54.4	441.08	0.7
0.2870	37.9	491.15	
0.2913	57.3	363.6	0.3
0.30039	89.1	396.97	0.02
0.3010	125.6	532.5	
0.3214	40.5	361.42	0.06
0.3238	48.67	368.7	
0.327	39.2	451.2	
0.3305	152.0	536.0	8.0
0.3355	49.9	491.2	
0.3439	63.4	636.2	0.4
0.351	101.6	437.0	0.6
0.361	89.5	686.55	0.01
0.3619	34.0	440.1	0.1
0.36295	118.0	637.34	3.52
0.3688	36.0	577.8	0.02
0.37	37.9	483.1	
0.3714	38.6	468.1	0.85
0.378	57.83	321.4	0.2
0.381	31.0	449.5	0.2
0.4	50.7	612.2	0.05
0.4525	39.2	586.96	
0.4755	102.0	589.27	0.03
0.477958	45.4	462.24	0.005
0.491	41.0	656.8	0.8
0.522	56.4	593.1	0.4
0.5310	38.5	828.0	
0.5535	104.9	696.35	0.5
0.554	44.4	706.7	0.6
0.622000	37.6	623.25	0.01
0.66	37.0	760.8	0.6
0.9680	90.3	1462.0	
0.9750	43.9	1391.05	
1.016	31.0	1458.15	0.2
1.354	138.8	1342.9	
